Acetazolamide,Zonisamide
Asenapine,Chlorprothixene
Amisulpride,Yohimbine
Butalbital,Etizolam
Butalbital,Flumazenil
Chlorphenamine,Methamphetamine
Dipivefrin,Epinephrine
Doxepin,Minaprine
Epinephrine,Tizanidine
Etizolam,Secobarbital
Etizolam,Talbutal
Etizolam,Thiopental
Flumazenil,Talbutal
Iloperidone,Molindone
Methamphetamine,Tizanidine
Molindone,Yohimbine
Naratriptan,Yohimbine
Paliperidone,Tizanidine
Sumatriptan,Yohimbine
Tizanidine,Yohimbine
Dosulepin,Quetiapine
Maprotiline,Perospirone
Maprotiline,Tiapride
"3,4-Methylenedioxymethamphetamine",Amoxapine
Amoxapine,Zuclopenthixol
Aripiprazole,Terfenadine
Iloperidone,Yohimbine
"3,4-Methylenedioxymethamphetamine",Methamphetamine
Cinnarizine,Mibefradil
Doxepin,Pramipexole
Doxepin,Ropinirole
Paliperidone,Rotigotine
Paliperidone,Zuclopenthixol
Rotigotine,Yohimbine
Acepromazine,Asenapine
Acepromazine,Nortriptyline
Asenapine,Perospirone
Asenapine,Trazodone
Atropine,Nortriptyline
Dopamine,Lisuride
Escitalopram,Nortriptyline
Eszopiclone,Oxazepam
Ketazolam,Oxazepam
Nortriptyline,Trazodone
Amisulpride,Mirtazapine
Amoxapine,Methotrimeprazine
Aripiprazole,Mirtazapine
Bromazepam,Etizolam
Chlorphenamine,Mirtazapine
Diazepam,Etizolam
Diazepam,Flumazenil
Etizolam,Flurazepam
Flumazenil,Temazepam
Hexocyclium,Methotrimeprazine
Methotrimeprazine,Phentolamine
Methotrimeprazine,Procyclidine
Mirtazapine,Nefazodone
Barbital,Midazolam
Butethal,Midazolam
Dopamine,Pergolide
Loxapine,Rotigotine
Loxapine,Zuclopenthixol
Dopamine,Ziprasidone
Amoxapine,Chlorprothixene
Amoxapine,Dosulepin
Aripiprazole,Dosulepin
Dextromethorphan,Varenicline
"3,4-Methylenedioxymethamphetamine",Escitalopram
4-Methoxyamphetamine,Escitalopram
4-Methoxyamphetamine,Trazodone
Acepromazine,Rotigotine
Acetylsalicylicacid,Mesalazine
Atropine,Disopyramide
Brimonidine,Pramipexole
Brimonidine,Risperidone
Brimonidine,Ropinirole
Cariprazine,Rotigotine
Cariprazine,Zuclopenthixol
Carphenazine,Chlorpromazine
Carphenazine,Pramipexole
Carphenazine,Ropinirole
Chlorpromazine,Chlorprothixene
Chlorpromazine,Flibanserin
Chlorpromazine,Haloperidol
Chlorpromazine,Thiethylperazine
Chlorpromazine,Thiothixene
Chlorprothixene,Pramipexole
Chlorprothixene,Risperidone
Chlorprothixene,Ropinirole
Cyproheptadine,Disopyramide
Ergotamine,Phendimetrazine
Ergotamine,Rizatriptan
Ergotamine,Tamsulosin
Flibanserin,Pramipexole
Flibanserin,Risperidone
Flibanserin,Ropinirole
Haloperidol,Pramipexole
Haloperidol,Risperidone
Haloperidol,Ropinirole
Imipramine,Mianserin
Oxymetazoline,Quinidine
Oxyphencyclimine,Promazine
Perospirone,Rotigotine
Perospirone,Zuclopenthixol
Pramipexole,Thiethylperazine
Pramipexole,Thiothixene
Promazine,Tamsulosin
Promazine,Thiethylperazine
Promazine,Thiothixene
Promazine,Tiotropium
Promazine,Tridihexethyl
Quinidine,Thioridazine
Quinidine,Xylometazoline
Risperidone,Thiethylperazine
Risperidone,Thiothixene
Ropinirole,Thiethylperazine
Ropinirole,Thiothixene
Trazodone,Zuclopenthixol
Dosulepin,Methotrimeprazine
