"3,4-Methylenedioxymethamphetamine",Desipramine
"3,4-Methylenedioxymethamphetamine",Armodafinil
"3,4-Methylenedioxymethamphetamine",Cyclobenzaprine
"3,4-Methylenedioxymethamphetamine",Debrisoquin
"3,4-Methylenedioxymethamphetamine",Deserpidine
"3,4-Methylenedioxymethamphetamine",Fencamfamine
"3,4-Methylenedioxymethamphetamine",Fluvoxamine
"3,4-Methylenedioxymethamphetamine",Pimavanserin
"3,4-Methylenedioxymethamphetamine",Propylhexedrine
"3,4-Methylenedioxymethamphetamine",Reboxetine
"3,4-Methylenedioxymethamphetamine",Reserpine
"3,4-Methylenedioxymethamphetamine",Ritanserin
"3,4-Methylenedioxymethamphetamine",Tramadol
"3,4-Methylenedioxymethamphetamine",Viloxazine
Asenapine,Nortriptyline
Bromocriptine,Chlorprothixene
Citalopram,Quetiapine
Quetiapine,Remoxipride
Quetiapine,Sertindole
Quetiapine,Triflupromazine
Acebutolol,Amiodarone
Acebutolol,Dipivefrin
Aceclofenac,Celecoxib
Acepromazine,Chlorprothixene
Acepromazine,Lisuride
Acetazolamide,Celecoxib
Acetazolamide,Methocarbamol
Acetazolamide,Sulpiride
Acetophenazine,Amisulpride
Acetophenazine,Molindone
Acetophenazine,Pimozide
Acetophenazine,Sulpiride
Adinazolam,Fospropofol
Alclofenac,Dexibuprofen
Alclofenac,Diclofenac
Alclofenac,Sulfasalazine
Aleglitazar,Balsalazide
Alfentanil,Pethidine
Almotriptan,Penbutolol
Alprazolam,Methoxyflurane
Alprazolam,Topiramate
Amiodarone,Astemizole
Amiodarone,Betaxolol
Amiodarone,Levobunolol
Amiodarone,Nebivolol
Amiodarone,Oxprenolol
Amiodarone,Salbutamol
Amisulpride,Buspirone
Amisulpride,Deramciclane
Amisulpride,Donepezil
Amisulpride,Droperidol
Amisulpride,Minaprine
Amisulpride,Quinagolide
Amisulpride,Tetrabenazine
Amisulpride,Tetrahydropalmatine
Antipyrine,Celecoxib
Antrafenine,Celecoxib
Aripiprazole,Minaprine
Armodafinil,MMDA
Astemizole,Chlorphenamine
Astemizole,Pimozide
Astemizole,Vernakalant
Balsalazide,Minoxidil
Balsalazide,Mitiglinide
Balsalazide,Montelukast
Balsalazide,Repaglinide
Balsalazide,Rofecoxib
Balsalazide,Rosiglitazone
Benzathinebenzylpenicillin,Doripenem
Betahistine,Chlorphenamine
Betaxolol,Dipivefrin
