Nitrazepam,Zonisamide,0.043033148
Dextromethorphan,Loxapine,0.044946657
Amoxapine,Bromazepam,0.045883147
Amoxapine,Flurazepam,0.045883147
Amoxapine,Nitrazepam,0.047140452
Amoxapine,Midazolam,0.048507125
Adinazolam,Amoxapine,0.05
Amoxapine,Clotiazepam,0.05
Amoxapine,Halothane,0.05
Loxapine,Verapamil,0.050251891
Amoxapine,Dextromethorphan,0.051639778
Verapamil,Zonisamide,0.052704628
Amoxapine,Cinolazepam,0.053452248
Imipramine,Miconazole,0.054554473
Dextromethorphan,Doxepin,0.055048188
Halothane,Oxazepam,0.055901699
Dextromethorphan,Imipramine,0.056343617
Bromazepam,Halothane,0.057353933
Diazepam,Halothane,0.057353933
Flurazepam,Halothane,0.057353933
Halothane,Temazepam,0.057353933
Amoxapine,Fludiazepam,0.057735027
Amoxapine,Halazepam,0.057735027
Amoxapine,Verapamil,0.057735027
Amphetamine,Zonisamide,0.057735027
Aripiprazole,Verapamil,0.057735027
Bepridil,Zonisamide,0.057735027
Dextromethorphan,Nortriptyline,0.057735027
Halothane,Nitrazepam,0.058925565
Amitriptyline,Imatinib,0.059868434
Clozapine,Verapamil,0.060192927
Verapamil,Ziprasidone,0.060192927
Amoxapine,Secobarbital,0.060302269
Amoxapine,Thiopental,0.060302269
Halothane,Midazolam,0.060633906
Dextromethorphan,Trimipramine,0.060858062
Amphetamine,Quetiapine,0.062017367
Adinazolam,Halothane,0.0625
Clotiazepam,Halothane,0.0625
Estazolam,Halothane,0.0625
Halothane,Prazepam,0.0625
Halothane,Quazepam,0.0625
Halothane,Triazolam,0.0625
Desipramine,Dextromethorphan,0.062622429
Amoxapine,Barbital,0.063245553
Amoxapine,Butethal,0.063245553
Amphetamine,Aripiprazole,0.063245553
Amitriptyline,Methoxyflurane,0.063500064
Asenapine,Verapamil,0.064549722
Dextromethorphan,Halothane,0.064549722
Diclofenac,Zonisamide,0.064549722
Minaprine,Zonisamide,0.064549722
Agmatine,Loxapine,0.065795169
Amphetamine,Clozapine,0.065938047
Amphetamine,Ziprasidone,0.065938047
Mirtazapine,Verapamil,0.066226618
Amoxapine,Flunitrazepam,0.066666667
Chlorpromazine,Miconazole,0.06681531
Cinolazepam,Halothane,0.06681531
Amitriptyline,Cinnarizine,0.067884423
Amitriptyline,Rotigotine,0.067884423
Trimipramine,Verapamil,0.068041382
Bepridil,Imipramine,0.069006556
Cinnarizine,Zonisamide,0.069006556
Cocaine,Zonisamide,0.069006556
Disopyramide,Zonisamide,0.069006556
Ibutilide,Imipramine,0.069006556
Isradipine,Zonisamide,0.069006556
Quinidine,Zonisamide,0.069006556
Halothane,Pentobarbital,0.069337525
Miconazole,Pentobarbital,0.069337525
MMDA,Quetiapine,0.069337525
Amoxapine,Pethidine,0.070710678
Amphetamine,Asenapine,0.070710678
Aripiprazole,MMDA,0.070710678
Dextromethorphan,Ephedra,0.071611487
Fludiazepam,Halothane,0.072168784
Halazepam,Halothane,0.072168784
Miconazole,Verapamil,0.072168784
Amphetamine,Methotrimeprazine,0.072547625
Amitriptyline,Tiapride,0.073323558
Clozapine,MMDA,0.073720978
MMDA,Ziprasidone,0.073720978
Agmatine,Quetiapine,0.074124932
Orphenadrine,Quetiapine,0.074124932
Asenapine,Tramadol,0.074535599
Dextromethorphan,Dosulepin,0.074535599
Butalbital,Halothane,0.075377836
Halothane,Secobarbital,0.075377836
Halothane,Talbutal,0.075377836
Halothane,Thiopental,0.075377836
Agmatine,Aripiprazole,0.075592895
Amoxapine,Disopyramide,0.075592895
Amoxapine,Quinidine,0.075592895
Aripiprazole,Orphenadrine,0.075592895
