Barbital,Butalbital
Barbital,Secobarbital
Barbital,Talbutal
Barbital,Thiopental
Butalbital,Butethal
Butethal,Secobarbital
Butethal,Talbutal
Butethal,Thiopental
Aripiprazole,Ziprasidone
Bromazepam,Oxazepam
Flurazepam,Oxazepam
Aripiprazole,Quetiapine
3-Methylfentanyl,Alvimopan
3-Methylfentanyl,Butorphanol
3-Methylfentanyl,Fentanyl
3-Methylfentanyl,Heroin
3-Methylfentanyl,Remifentanil
3-Methylfentanyl,Sufentanil
Abacavir,Efavirenz
Abacavir,Emtricitabine
Abacavir,Tenofovirdisoproxil
Abacavir,Zalcitabine
Abarelix,Degarelix
Abarelix,Ganirelix
Abarelix,Histrelin
Abarelix,Nafarelin
Abarelix,Triptorelin
Acebutolol,Betaxolol
Acebutolol,Levobunolol
Acebutolol,Nebivolol
Acebutolol,Oxprenolol
Acebutolol,Salbutamol
Aceclofenac,Antipyrine
Aceclofenac,Antrafenine
Aceclofenac,Bromfenac
Aceclofenac,Carprofen
Aceclofenac,Diflunisal
Aceclofenac,Flurbiprofen
Aceclofenac,Ketorolac
Aceclofenac,Lornoxicam
Aceclofenac,Lumiracoxib
Aceclofenac,Magnesiumsalicylate
Aceclofenac,Meloxicam
Aceclofenac,Nabumetone
Aceclofenac,Naproxen
Aceclofenac,Oxaprozin
Aceclofenac,Tiaprofenicacid
Aceprometazine,Alcaftadine
Aceprometazine,Alimemazine
Aceprometazine,Bromodiphenhydramine
Aceprometazine,Buclizine
Aceprometazine,Carbinoxamine
Aceprometazine,Cetirizine
Aceprometazine,Chloropyramine
Aceprometazine,Dimenhydrinate
Aceprometazine,Emedastine
Aceprometazine,Fexofenadine
Aceprometazine,Levocetirizine
Aceprometazine,Loratadine
Aceprometazine,Pheniramine
Acetophenazine,Tetrahydropalmatine
Acetyldigitoxin,Almitrine
Acetyldigitoxin,Ciclopirox
Aciclovir,Penciclovir
Aciclovir,Valaciclovir
Aclidinium,Darifenacin
Aclidinium,Tolterodine
Aclidinium,Trihexyphenidyl
Aclidinium,Umeclidinium
Adinazolam,Clotiazepam
Ajmaline,Benzonatate
Ajmaline,Carbamazepine
Ajmaline,Encainide
Ajmaline,Prilocaine
Albiglutide,Dulaglutide
Albiglutide,Exenatide
Alcaftadine,Alimemazine
Alcaftadine,Bromodiphenhydramine
Alcaftadine,Buclizine
Alcaftadine,Carbinoxamine
Alcaftadine,Cetirizine
Alcaftadine,Chloropyramine
Alcaftadine,Dimenhydrinate
Alcaftadine,Emedastine
Alcaftadine,Fexofenadine
Alcaftadine,Levocetirizine
Alcaftadine,Loratadine
Alcaftadine,Pheniramine
